id;name;type;parent;min;max;regex;namespace;active;inferrable;xpath;message_field
740;UF;E;733;1;1;^(SC|RS|MG|DF|SP|RN|GO|AM|PA|PE|PB|AP|ES|TO|MT|RR|PI|PR|CE|BA|RJ|AC|MA|AL|RO|SE|MS)$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:enderEmit//xs:UF;uf
741;CEP;E;733;1;1;^[0-9]{8}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:enderEmit//xs:CEP;cep
742;cPais;E;733;0;1;^1058$;;1;1;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:enderEmit//xs:cPais;codigo_pais
743;xPais;E;733;0;1;^(Brasil|BRASIL)$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:enderEmit//xs:xPais;nome_pais
744;fone;E;733;0;1;^[0-9]{6,14}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:enderEmit//xs:fone;fone
745;IE;E;728;1;1;^[0-9]{2,14}|ISENTO$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:IE;inscricao_estadual
746;IEST;E;728;0;1;^[0-9]{2,14}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:IEST;inscricao_estadual_substituto
747;grupo_dados_fiscais;GA;728;0;1;;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit;
748;IM;E;747;1;1;"^[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}[! a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{0,13}[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}|[!a-zA-Z0-9#$%()*+,-.\/:;=?@\[\]^`{|}~]{1}$";;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:IM;inscricao_municipal
749;CNAE;E;747;0;1;^[0-9]{7}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:CNAE;cnae
750;CRT;E;728;1;1;^[123]{1}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:emit//xs:CRT;regime_tributario
751;avulsa;G;675;0;1;;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:avulsa;
752;CNPJ;E;751;1;1;^[0-9]{14}$;;1;0;//xs:enviNFe//xs:NFe//xs:infNFe//xs:avulsa//xs:CNPJ;
